org_id,org_name,cid,name
hcia,新竹農田水利會,1,隆恩圳
hcia,新竹農田水利會,2,汀甫圳
hcia,新竹農田水利會,3,竹東圳
hcia,新竹農田水利會,4,舊港圳
hcia,新竹農田水利會,5,東興圳
hcia,新竹農田水利會,6,十五郎圳
hcia,新竹農田水利會,7,九甲埔圳
hcia,新竹農田水利會,8,白沙屯圳
hcia,新竹農田水利會,9,烏瓦窯圳
hcia,新竹農田水利會,10,后湖圳
hcia,新竹農田水利會,11,湧北湖圳
hcia,新竹農田水利會,12,雷公圳
hcia,新竹農田水利會,13,湧北湖圳
bjia,北基農田水利會,14,沙崙圳
bjia,北基農田水利會,15,頂中股圳
bjia,北基農田水利會,16,成渠圳群
bjia,北基農田水利會,17,成渠頂圳
bjia,北基農田水利會,18,成渠中圳
bjia,北基農田水利會,19,成渠下圳
bjia,北基農田水利會,20,崁底寮圳
lkia,瑠公農田水利會,21,瑠公圳
lkia,瑠公農田水利會,22,霧裡薛圳
lkia,瑠公農田水利會,23,大坪林圳
gxia,七星農田水利會,24,七星墩圳
gxia,七星農田水利會,25,金合興圳
gxia,七星農田水利會,26,磺溪圳
gxia,七星農田水利會,27,福德洋圳
gxia,七星農田水利會,28,唭里岸圳
gxia,七星農田水利會,29,半嶺圳
gxia,七星農田水利會,30,十四分圳
tyia,桃園農田水利會,31,後村圳
tyia,桃園農田水利會,32,大安圳
tyia,桃園農田水利會,33,永豐圳
smia,石門農田水利會,34,石門大圳
mlia,苗栗農田水利會,35,苑裡圳
tcia,台中農田水利會,36,五福圳
tcia,台中農田水利會,37,葫蘆墩圳
tcia,台中農田水利會,38,白冷圳
tcia,台中農田水利會,39,八寶圳
tcia,台中農田水利會,40,東勢本圳
tcia,台中農田水利會,41,后里圳
tcia,台中農田水利會,42,新社圳
tcia,台中農田水利會,43,山頂圳
tcia,台中農田水利會,44,大茅埔圳
tcia,台中農田水利會,45,內埔圳
tcia,台中農田水利會,46,石圍牆圳
ntia,南投農田水利會,47,能高大圳
ntia,南投農田水利會,48,北投新圳
ntia,南投農田水利會,49,茄荖媽助圳
ntia,南投農田水利會,50,龍泉圳
chia,彰化農田水利會,51,八堡圳
chia,彰化農田水利會,52,莿仔埤圳
ylia,雲林農田水利會,53,斗六大圳
ylia,雲林農田水利會,54,雲林隆恩圳
ylia,雲林農田水利會,55,引西圳
ylia,雲林農田水利會,56,十股圳
ylia,雲林農田水利會,57,濁幹線
cnia,嘉南農田水利會,58,嘉南大圳
cnia,嘉南農田水利會,59,好收圳
cnia,嘉南農田水利會,60,柳子溝圳
cnia,嘉南農田水利會,61,大林圳
cnia,嘉南農田水利會,62,中興圳
cnia,嘉南農田水利會,63,嘉義隆恩圳
cnia,嘉南農田水利會,64,十股圳
cnia,嘉南農田水利會,65,道將圳
cnia,嘉南農田水利會,66,許縣圳
kfia,高雄農田水利會,67,曹公圳
ptia,屏東農田水利會,68,萬丹圳
ptia,屏東農田水利會,69,隘竂圳
ptia,屏東農田水利會,70,大陂圳
ilia,宜蘭農田水利會,71,大光明圳
ilia,宜蘭農田水利會,72,萬富圳
ilia,宜蘭農田水利會,73,張公圍圳
ilia,宜蘭農田水利會,74,月眉圳
ilia,宜蘭農田水利會,75,天送埤圳
ilia,宜蘭農田水利會,76,埔林圳
ilia,宜蘭農田水利會,77,叭哩沙圳
ilia,宜蘭農田水利會,78,萬長春圳
ilia,宜蘭農田水利會,79,金同春圳
hlia,花蓮農田水利會,80,太平渠
hlia,花蓮農田水利會,81,北埔圳
hlia,花蓮農田水利會,82,新城圳
hlia,花蓮農田水利會,83,吉安圳
hlia,花蓮農田水利會,84,光復圳
ttia,台東農田水利會,85,卑南大圳
ttia,台東農田水利會,86,關山大圳
ttia,台東農田水利會,87,長濱大圳
ttia,台東農田水利會,88,知本圳
ttia,台東農田水利會,89,石山圳
ttia,台東農田水利會,90,卑南上圳
ttia,台東農田水利會,91,太麻里圳
ttia,台東農田水利會,92,小馬圳
ttia,台東農田水利會,93,鹿野圳
ttia,台東農田水利會,94,池上圳
ttia,台東農田水利會,95,射馬干圳
ttia,台東農田水利會,96,大南圳
ttia,台東農田水利會,97,鹿寮圳
ttia,台東農田水利會,98,桃源圳
ttia,台東農田水利會,99,豐源圳
ttia,台東農田水利會,100,電光圳
ttia,台東農田水利會,101,利家圳
ttia,台東農田水利會,102,美和圳
ttia,台東農田水利會,103,香蘭圳
ttia,台東農田水利會,104,白守蓮圳
ttia,台東農田水利會,105,新港圳
ttia,台東農田水利會,106,萬安圳
ttia,台東農田水利會,107,萬朝圳
bjia,北基農田水利會,108,田寮河
ptia,屏東農田水利會,109,二峰圳
tyia,桃園農田水利會,110,八字圳
tyia,桃園農田水利會,111,桃園大圳
tyia,桃園農田水利會,112,第一劉厝支線
tyia,桃園農田水利會,113,第二劉厝支線