enabled,level,src_id,ds_name,tag,filename,col_id,col_name,col_key,id_type,id_par
1,1.1,DATAGOV-22228_T,river_code,溪河,dataset/地表水資料收集 - 河川基本資料.csv,河川代碼,河川名稱,河川代碼,river_code,%04i%02i
1,2.1,ORG-1,排水,人工河,dataset/地表水資料收集 - 排水-全部.csv,P_ID,Drain_Name,"P_ID,geo_id,ex_hydroid",seq,%i
1,2.2,DATAGOV-25780,riverlin,水路,dataset/25780-河川支流-riverlin.csv,NAME,NAME,NAME,seq,
1,3.1,LASS-1,local_gov,溪河,dataset/地表水資料收集 - 縣市管野溪（不含河川與排水）.csv,river_code,river_name,"countyname,river_name",seq,
1,3.2,DATAGOV-118834,debris,溪河,dataset/地表水資料收集 - 109年度1726條土石流潛勢溪流集水區圖.csv,Debrisno,Debrisno,Debrisno,debrisno,%02sDF%03i
1,3.3,WIKIDATA-1,wd_river,溪河,dataset/地表水資料收集 - wikidata-river.csv,item,itemLabel,item,wikidata,Q%i
0,3.4,OSM-waterway,waterway,水路,dataset/地表水資料收集 - OSM_waterway.csv,id,name,id,osm,
1,4.1,ORG-2,農田水利會圳路,人工河,dataset/地表水資料收集 - 農田水利會圳路.csv,cid,name,cid,seq,
1,4.2,WIKIDATA-2,wd_canal,人工河,dataset/地表水資料收集 - wikidata-canal.csv,item,itemLabel,item,wikidata,Q%i
1,9,DATAGOV-25781_T,riverpoly,水體,dataset/地表水資料收集 - riverpoly-unique.csv,ID,RIVER_NAME,ID,river_code,%04i%02i
0,9,DATAGOV-36691,河川簡介,水路,dataset/地表水資料收集 - 36691-河川名詞庫.csv,SerialNumber,ChineseTerminology,SerialNumber,seq,
0,10,LASS-2,fusion,設定,dataset/id_act_fusion.csv,fid_master,name,fid_master,set,